InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536000,94537,HARINA DE MAÍZ,5,2023-01-07 01:09:00,2.76,17452.0,Colombia
536000,87297,QUESO MUZZARELLA,2,2023-01-07 01:09:00,4.69,17779.0,Colombia
536001,94537,HARINA DE MAÍZ,4,2023-01-07 11:51:00,2.76,14933.0,Colombia
536001,87297,QUESO MUZZARELLA,3,2023-01-07 11:51:00,4.69,14957.0,Colombia
536002,26907,CAFÉ,4,2023-01-02 01:54:00,2.36,15202.0,Colombia
536002,95931,LECHE,3,2023-01-02 01:54:00,2.18,14576.0,Colombia
536002,28930,AZÚCAR,4,2023-01-02 01:54:00,4.9,12671.0,Colombia
536003,65719,PAN TAJADO,4,2023-01-02 02:55:00,3.39,14996.0,Colombia
536003,49806,HUEVOS,5,2023-01-02 02:55:00,4.6,17506.0,Colombia
536004,31048,ACEITE DE GIRASOL,2,2023-01-06 00:43:00,3.02,14448.0,Colombia
536004,29772,FRIJOL CARGAMANTO,2,2023-01-06 00:43:00,3.43,17236.0,Colombia
536004,87914,ARROZ,3,2023-01-06 00:43:00,1.65,12511.0,Colombia
536005,31048,ACEITE DE GIRASOL,1,2023-01-05 03:34:00,3.02,17704.0,Colombia
536005,28930,AZÚCAR,4,2023-01-05 03:34:00,4.9,16256.0,Colombia
536005,29772,FRIJOL CARGAMANTO,3,2023-01-05 03:34:00,3.43,17157.0,Colombia
536005,87914,ARROZ,2,2023-01-05 03:34:00,1.65,12719.0,Colombia
536006,94537,HARINA DE MAÍZ,2,2023-01-05 11:44:00,2.76,17488.0,Colombia
536006,87297,QUESO MUZZARELLA,5,2023-01-05 11:44:00,4.69,15062.0,Colombia
536007,31048,ACEITE DE GIRASOL,5,2023-01-07 18:27:00,3.02,15984.0,Colombia
536007,29772,FRIJOL CARGAMANTO,1,2023-01-07 18:27:00,3.43,16105.0,Colombia
536007,87914,ARROZ,3,2023-01-07 18:27:00,1.65,12355.0,Colombia
536008,31048,ACEITE DE GIRASOL,1,2023-01-07 04:48:00,3.02,13865.0,Colombia
536008,29772,FRIJOL CARGAMANTO,4,2023-01-07 04:48:00,3.43,13233.0,Colombia
536008,87914,ARROZ,1,2023-01-07 04:48:00,1.65,14351.0,Colombia
536009,94537,HARINA DE MAÍZ,3,2023-01-06 01:14:00,2.76,14093.0,Colombia
536009,87297,QUESO MUZZARELLA,5,2023-01-06 01:14:00,4.69,13010.0,Colombia
536010,94537,HARINA DE MAÍZ,4,2023-01-04 20:06:00,2.76,15074.0,Colombia
536010,87297,QUESO MUZZARELLA,4,2023-01-04 20:06:00,4.69,17979.0,Colombia
536010,87914,ARROZ,1,2023-01-04 20:06:00,1.65,14324.0,Colombia
536011,26907,CAFÉ,1,2023-01-03 19:11:00,2.36,15221.0,Colombia
536011,95931,LECHE,4,2023-01-03 19:11:00,2.18,16839.0,Colombia
536011,28930,AZÚCAR,5,2023-01-03 19:11:00,4.9,16398.0,Colombia
536011,65719,PAN TAJADO,3,2023-01-03 19:11:00,3.39,12363.0,Colombia
