RANKING,NIT,RAZON_SOCIAL,CODIGO_DEPARTAMENTO,DEPARTAMENTO,CODIGO_MUNICIPIO,MUNICIPIO,CIIU,DESCRIPCION_CIIU,AÑOS_EMPRESA,ACTIVOS_2023,PASIVOS_2023,PATRIMONIO_2023,INGRESOS_OPERACIONALES_2023,UTILIDAD_2023,ACTIVOS_2022,PASIVOS_2022,PATRIMONIO_2022,INGRESOS_OPERACIONALES_2022,UTILIDAD_2022,DIRECCION,TELEFONO,CELULAR,EMAIL,SUPERVISOR
1,899999068,ECOPETROL S.A,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",0610,Extracción de petróleo crudo,,198732048000000.0,120339989000000.0,78392059000000.0,129508675000000.0,19062091000000.0,216847696868000.0,125812992019000.0,91034704849000.0,144820641934000.0,33406291190000.0,,,,,SUPERFINANCIERA
2,900112515,REFINERIA DE CARTAGENA S.A.,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,1921,Fabricación de productos de la refinación del petróleo,,37080019697618.0,12339425674582.0,24740594023036.0,32050663229016.0,3491071127880.0,42844949768948.0,16480903602221.0,26364046166727.0,27910347095288.0,2188258717171.0,,,,,SUPERSERVICIOS
3,890100577,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",5111,Transporte aéreo nacional de pasajeros,,18938010690614.0,20044894930057.0,-1106884239443.0,27150513815328.0,224732589350.0,17886971237998.0,19333652424242.0,-1446681186244.0,22520677111772.0,-801213587941.0,,,,,SUPERTRANSPORTE
4,830095213,ORGANIZACIÓN TERPEL S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",,7357710447000.0,4606665920000.0,2751044527000.0,23048284871000.0,285273513000.0,7481575073000.0,4473299528000.0,3008275545000.0,23603192495000.0,333411532000.0,,,,,SUPERFINANCIERA
5,900156264,NUEVA EMPRESA PROMOTORA DE SALUD S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",8430,Actividades de planes de seguridad social de afiliación obligatoria,,6815192849000.0,6671800785000.0,143392064000.0,20279681124000.0,-341816765000.0,5913636590000.0,5428427760000.0,485208830000.0,14777134070000.0,10400284000.0,,,,,SUPERSALUD
6,890904996,EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P. ,05,ANTIOQUIA,05001,MEDELLÍN,3513,Distribución de energía eléctrica,,62699945000000.0,33247382000000.0,29452563000000.0,17781794000000.0,3765281000000.0,59469202000000.0,30243347000000.0,29225855000000.0,15065382014000.0,3035955917000.0,,,,,SUPERFINANCIERA
7,900276962,D1 S.A.S,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",14.767967145790555,5680868613000.0,5505506544000.0,175362069000.0,17424130562000.0,294590579000.0,5176574854000.0,5055174815000.0,121400039000.0,13957675264000.0,120317579000.0,CARRERA 7 # 155C -30 EDIFICIO NORTH POINT  TORRE E PISO 37 y 38,6012541055,3112181438,notificaciones.d1@d1.com.co,SUPERSOCIEDADES
8,890900608,ALMACENES EXITO S A,05,ANTIOQUIA,05266,ENVIGADO,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,13580684000000.0,7480007000000.0,6100677000000.0,15732183000000.0,125998000000.0,14848638206000.0,7622556967000.0,7226081239000.0,15130186945000.0,99072453000.0,,,,,SUPERFINANCIERA
9,800021308,DRUMMOND LTD,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",0510,Extracción de hulla (carbón de piedra),36.22724161533196,11827817835000.0,3754794706000.0,8073023129000.0,15514019870000.0,3265990317000.0,14272508653000.0,6338078590000.0,7934430063000.0,15268144128000.0,2158037207000.0,CALLE 72 10-07 OFICINA 1302,6015871000,3178949540,correo@drummondltd.com,SUPERSOCIEDADES
10,860063875,EMGESA S.A. E.S.P.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",3514,Comercialización de energía eléctrica,,27536199298000.0,14407141866000.0,13129057432000.0,15309024322000.0,1931621190000.0,27061068601000.0,11889137203000.0,15171931398000.0,11272249913000.0,2859963898000.0,,,,,SUPERSERVICIOS
